Date Published,Publication,Headline,Meta Description,Link
24-07-2025,LAist,Trump homelessness order,Shifting priorities: The White House action also seeks to shift federal funding away from longtime policies that sought to get unhoused people ...,https://laist.com/brief/news/housing-homelessness/trump-signs-an-executive-order-making-it-easier-to-remove-homeless-people-from-streets
24-07-2025,LAist,Long Beach homicides,Shifting priorities: The White House action also seeks to shift federal funding away from longtime policies that sought to get unhoused people ...,https://laist.com/brief/news/criminal-justice/long-beach-drop-in-homicides-other-cities
24-07-2025,LAist,LA to appeal ruling,... unhoused people. Why now: Attorneys representing the city filed a notice of appeal with the U.S. District Court in Los Angeles on Wednesday ...,https://laist.com/brief/news/housing-homelessness/la-to-appeal-federal-ruling-that-the-city-failed-in-its-commitment-to-shelter-unhoused-people
24-07-2025,LAist,Kaiser limits trans care,... unhoused people. Why now: Attorneys representing the city filed a notice of appeal with the U.S. District Court in Los Angeles on Wednesday ...,https://laist.com/brief/news/health/kaiser-socal-medical-provider-pause-youth-gender-affirming-surgeries
24-07-2025,LAist,LA County homelessness,"Topline: On the same day the Trump administration announced an overhaul in how to manage unhoused communities across the U.S., L.A. County ...",https://laist.com/brief/news/housing-homelessness/trump-adminstration-homelessness-order-la-county-programs
22-07-2025,LAist,O'Neill named LAHSA head,Federal judge finds LA failed to create enough shelter for unhoused people as required in agreement · Whistleblowers say LA's top homeless ...,https://laist.com/brief/news/housing-homelessness/oneill-new-lahsa-head
24-07-2025,LAist,D Line reopening,"Los Angeles Metro paused service on May 17. The temporary closure ... Once complete, the D Line extension will take riders between downtown L.A. ...",https://laist.com/brief/news/transportation/d-line-opening
24-07-2025,LAist,LA to appeal federal ruling that the city failed in its commitment to ...,"LA to appeal federal ruling that the city failed in its commitment to shelter unhoused people. By Makenna Sievertson. Published Jul 24, 2025 1 ...",https://laist.com/news/housing-homelessness/la-to-appeal-federal-ruling-that-the-city-failed-in-its-commitment-to-shelter-unhoused-people
24-07-2025,LAist,LA County braces for potentially massive financial blow as Trump ...,Homeless Services Agency reported HUD had awarded more than $200 million in renewal and additional funds to help combat homelessness in the ...,https://laist.com/news/housing-homelessness/trump-adminstration-homelessness-order-la-county-programs
24-07-2025,LAist,The wildest ride at the OC Fair is the emotional rollercoaster of ...,"“ I was almost homeless. I was jobless,"" he said. ""So it was one of those things of like, I don't have a lot going for me, ...",https://laist.com/news/los-angeles-activities/oc-fair-competitive-table-setting
